caseid,age,parents_divorced,parents_separated,ever_married,intention_to_marry,num_marriages,separate_or_divorce
1,52,NA,NA,No,"NA",0,2
2,51,8,8,Yes,"NA",1,0
3,63,NA,14,Yes,"NA",1,0
4,80,NA,NA,Yes,"NA",1,0
5,28,16,15,No,"NA",0,1
6,63,NA,NA,Yes,"NA",1,0
7,58,NA,NA,No,Unsure,0,0
8,80,NA,NA,Yes,"No, Definitely not",1,1
9,63,NA,NA,No,"No, Definitely not",0,0
10,25,NA,NA,No,Probably Not,0,2
11,15,NA,NA,No,"NA",0,0
12,40,NA,NA,No,Unsure,0,0
13,56,NA,NA,Yes,"NA",2,1
14,26,NA,16,No,"NA",0,0
15,66,NA,NA,Yes,"NA",1,2
16,30,13,13,No,Unsure,0,1
17,68,NA,NA,Yes,"NA",3,1
18,33,13,12,No,"NA",0,2
19,73,23,NA,Yes,"NA",1,0
20,39,NA,NA,No,"NA",0,0
21,64,NA,NA,Yes,"NA",2,1
22,25,NA,NA,No,"NA",0,0
23,49,NA,NA,No,Probably Not,0,2
24,16,NA,NA,No,"NA",0,0
25,63,NA,NA,Yes,"No, Definitely not",1,1
26,78,NA,NA,No,"No, Definitely not",0,0
27,30,NA,NA,No,"NA",0,0
28,19,NA,NA,No,"NA",0,0
29,40,NA,NA,Yes,"NA",2,2
30,43,NA,NA,No,"NA",0,0
31,40,NA,NA,No,"NA",0,0
32,80,NA,NA,Yes,"No, Definitely not",1,0
33,16,NA,16,No,"NA",0,0
34,80,NA,NA,Yes,"No, Definitely not",1,0
35,71,NA,NA,Yes,"NA",1,1
36,71,NA,NA,Yes,"NA",1,0
37,29,NA,NA,No,Unsure,0,0
38,74,NA,23,No,Probably Not,0,1
39,18,NA,NA,No,"NA",0,0
40,54,NA,NA,Yes,"NA",1,1
41,80,NA,16,Yes,"NA",1,0
42,36,NA,NA,No,"NA",0,0
43,27,NA,NA,No,Unsure,0,0
44,68,NA,NA,Yes,"NA",3,2
45,53,NA,NA,Yes,"NA",1,1
46,63,NA,NA,Yes,"NA",1,0
47,34,NA,13,No,Definitely Yes,0,0
48,36,NA,NA,No,"NA",0,0
49,80,NA,NA,Yes,"No, Definitely not",1,0
50,69,18,16,Yes,"NA",3,4
51,26,NA,NA,No,"NA",0,0
52,60,NA,NA,Yes,"NA",1,2
53,51,NA,NA,Yes,"NA",2,2
54,61,NA,NA,Yes,"NA",1,0
55,47,NA,NA,Yes,"NA",1,2
56,46,4,0,Yes,"NA",1,1
57,53,NA,NA,No,"NA",0,0
58,68,NA,NA,Yes,"NA",1,0
59,45,NA,NA,No,"NA",0,0
60,50,NA,NA,No,Probably Not,0,2
61,70,NA,NA,Yes,"NA",1,1
62,60,NA,NA,No,"NA",0,0
63,53,NA,NA,Yes,"NA",1,1
64,34,NA,NA,Yes,"NA",1,0
65,72,NA,12,Yes,"NA",1,0
66,80,NA,NA,Yes,"No, Definitely not",1,0
67,65,NA,NA,Yes,"NA",1,2
68,61,NA,NA,Yes,Probably Not,1,0
69,36,22,12,Yes,"NA",1,0
70,58,NA,NA,No,"No, Definitely not",0,0
71,80,NA,NA,Yes,"NA",1,0
72,42,NA,10,No,"NA",0,0
73,44,NA,NA,Yes,"NA",1,1
74,26,3,3,No,Probably Not,0,1
75,24,NA,NA,Yes,"NA",1,0
76,41,NA,NA,Yes,"NA",1,0
77,26,NA,NA,No,"NA",0,0
78,31,NA,NA,No,"NA",0,0
79,57,NA,NA,Yes,"NA",1,0
80,15,NA,NA,No,"NA",0,0
81,16,NA,2,No,"NA",0,1
82,41,NA,NA,Yes,"NA",1,1
83,24,NA,NA,No,"NA",0,0
84,53,24,23,No,"NA",0,0
85,17,NA,NA,No,"NA",0,0
86,63,NA,NA,No,Unsure,0,0
87,57,NA,NA,Yes,"NA",1,1
88,74,NA,25,Yes,"No, Definitely not",1,1
89,41,NA,NA,Yes,"NA",1,0
90,59,NA,NA,Yes,Probably Yes,1,1
91,80,NA,NA,No,"No, Definitely not",0,0
92,53,NA,NA,Yes,"NA",1,0
93,35,29,29,No,Probably Yes,0,0
94,80,NA,NA,Yes,"NA",1,0
95,73,4,4,Yes,"NA",1,0
96,80,NA,NA,Yes,"NA",1,0
97,72,6,6,Yes,"No, Definitely not",1,0
98,56,NA,NA,Yes,"No, Definitely not",1,1
99,64,NA,NA,No,"No, Definitely not",0,0
100,29,NA,NA,No,Probably Yes,0,0
101,70,NA,NA,Yes,"NA",1,0
102,32,NA,NA,Yes,"NA",2,1
103,25,11,10,No,"NA",0,0
104,63,NA,NA,Yes,"NA",2,1
105,78,NA,NA,Yes,"NA",1,0
106,43,NA,NA,Yes,"NA",2,1
107,57,NA,NA,Yes,"NA",1,0
108,45,NA,NA,No,Probably Yes,0,0
109,55,NA,NA,Yes,"NA",1,0
110,24,NA,NA,Yes,"NA",1,0
111,47,33,32,Yes,"NA",1,0
112,41,NA,NA,Yes,"NA",1,0
113,64,NA,NA,Yes,"No, Definitely not",2,1
114,80,NA,NA,Yes,"No, Definitely not",1,0
115,29,NA,NA,Yes,"NA",1,0
116,79,NA,NA,Yes,"NA",1,0
117,59,NA,NA,Yes,"NA",2,1
118,47,NA,NA,Yes,"NA",1,1
119,35,13,11,Yes,Probably Not,1,0
120,22,NA,NA,No,"NA",0,0
121,53,NA,NA,Yes,"NA",1,0
122,51,NA,NA,Yes,"NA",1,0
123,45,NA,NA,Yes,"NA",1,0
124,72,NA,NA,Yes,"No, Definitely not",1,1
125,72,NA,NA,No,"NA",0,0
126,70,NA,NA,Yes,"NA",1,0
127,63,NA,NA,No,Probably Not,0,0
128,46,NA,NA,Yes,"NA",2,0
129,58,NA,NA,Yes,"No, Definitely not",2,4
130,36,NA,NA,Yes,"NA",1,0
131,60,NA,NA,Yes,"NA",1,0
132,66,NA,NA,Yes,"NA",1,0
133,78,NA,NA,Yes,"NA",1,1
134,33,NA,NA,Yes,"NA",1,0
135,76,NA,NA,No,"No, Definitely not",0,0
136,74,NA,NA,No,"NA",0,0
137,70,NA,NA,Yes,"No, Definitely not",1,0
138,27,NA,NA,No,"NA",0,0
139,80,NA,NA,Yes,"NA",1,1
140,39,NA,35,No,"NA",0,1
141,30,NA,NA,Yes,"NA",1,0
142,69,NA,NA,Yes,"NA",2,1
143,56,NA,16,Yes,"NA",1,0
144,76,NA,NA,Yes,"No, Definitely not",1,0
145,30,NA,NA,Yes,"NA",1,1
146,80,NA,NA,Yes,"NA",1,0
147,33,26,25,Yes,"NA",1,0
148,63,NA,NA,Yes,"No, Definitely not",1,1
149,56,NA,NA,No,"NA",0,0
150,41,NA,NA,No,Probably Not,0,0
151,18,NA,NA,No,"NA",0,0
152,40,NA,NA,Yes,"NA",1,1
153,48,NA,NA,No,"NA",0,0
154,65,NA,NA,Yes,"NA",1,0
155,29,NA,NA,Yes,"NA",1,0
156,33,NA,3,No,Probably Yes,0,2
157,25,NA,NA,No,Probably Not,0,1
158,39,NA,NA,Yes,"NA",1,1
159,69,NA,NA,No,"No, Definitely not",0,0
160,67,NA,NA,Yes,"NA",1,0
161,31,NA,NA,No,Probably Yes,0,0
162,61,NA,NA,Yes,"NA",2,1
163,65,NA,NA,Yes,Probably Not,1,1
164,58,NA,35,Yes,"NA",1,1
165,63,NA,26,Yes,"NA",1,0
166,43,NA,NA,No,"NA",0,0
167,51,NA,NA,Yes,"NA",1,0
168,52,NA,NA,Yes,"NA",1,0
169,40,NA,NA,Yes,"NA",1,0
170,76,NA,NA,Yes,"No, Definitely not",1,0
171,16,NA,NA,No,"NA",0,0
172,62,NA,NA,Yes,"NA",1,0
173,57,NA,18,Yes,Probably Yes,1,0
174,80,NA,NA,Yes,"No, Definitely not",1,0
175,69,NA,NA,Yes,"No, Definitely not",1,4
176,64,NA,NA,No,"No, Definitely not",0,0
177,70,NA,NA,Yes,"No, Definitely not",1,0
178,73,NA,NA,Yes,"NA",1,0
179,80,NA,NA,Yes,"NA",1,0
180,67,NA,NA,Yes,"No, Definitely not",1,1
181,61,NA,NA,Yes,"NA",1,0
182,67,NA,NA,Yes,"NA",1,0
183,47,NA,NA,No,"No, Definitely not",0,0
184,52,NA,NA,No,Probably Not,0,0
185,20,NA,NA,No,Probably Not,0,0
186,31,26,25,No,"NA",0,0
187,77,NA,NA,Yes,"NA",1,0
188,24,NA,3,No,"NA",0,1
189,50,NA,16,Yes,"NA",1,2
190,63,NA,NA,Yes,"NA",2,1
191,62,NA,NA,No,Unsure,0,0
192,36,NA,NA,No,Definitely Yes,0,0
193,63,NA,NA,Yes,"No, Definitely not",1,1
194,68,NA,NA,Yes,Probably Not,1,0
195,53,NA,NA,Yes,"NA",1,0
196,51,NA,NA,Yes,"NA",1,0
197,68,NA,NA,Yes,"NA",1,0
198,57,NA,NA,Yes,"NA",1,0
